OrderID,Date,Quantity,CategoryID,CategoryName,ProdName,Price,CustomerID,CustomerCity,CustomerState,total_sales
1,2020-01-01 00:00:00.000,2,4,eBooks,Polar Robots,"23,99",1.866,Jackson,Mississippi,"47,98"
2,2020-01-01 00:00:00.000,3,6,Robots,RWW-75 Robot,"883,00",1.567,Katy,Texas,"2.649,00"
3,2020-01-01 00:00:00.000,6,7,Training Videos,Drone Video Techniques,"37,99",2.064,Saint Petersburg,Florida,"227,94"
4,2020-01-01 00:00:00.000,1,2,Drone Kits,BYOD-220,"69,00",287,Honolulu,Hawaii,"69,00"
5,2020-01-01 00:00:00.000,5,4,eBooks,SCARA Robots,"19,50",422,Des Moines,Iowa,"97,50"
6,2020-01-01 00:00:00.000,5,4,eBooks,Spherical Robots,"16,75",954,Birmingham,Alabama,"83,75"
7,2020-01-02 00:00:00.000,2,5,Robot Kits,BYOR-2640S,"189,00",726,Houston,Texas,"378,00"
8,2020-01-02 00:00:00.000,1,7,Training Videos,Understanding Automation,"44,95",1.740,San Diego,California,"44,95"
9,2020-01-02 00:00:00.000,2,7,Training Videos,Drone Video Techniques,"37,99",1.652,Des Moines,Iowa,"75,98"
10,2020-01-02 00:00:00.000,2,3,Drones,DTE-QFN20 Drone,"250,00",1.431,Sacramento,California,"500,00"
11,2020-01-02 00:00:00.000,2,5,Robot Kits,BYOR-2640S,"189,00",270,Washington,District of Columbia,"378,00"
12,2020-01-02 00:00:00.000,5,2,Drone Kits,BYOD-100,"54,00",815,Washington,District of Columbia,"270,00"
13,2020-01-02 00:00:00.000,3,4,eBooks,Fixed Wing Drones,"15,50",157,Birmingham,Alabama,"46,50"
14,2020-01-02 00:00:00.000,2,1,Blueprints,Ladybug Robot Blueprint,"12,00",179,West Palm Beach,Florida,"24,00"
15,2020-01-02 00:00:00.000,2,5,Robot Kits,BYOR-3000,"214,00",832,Virginia Beach,Virginia,"428,00"
16,2020-01-03 00:00:00.000,3,2,Drone Kits,BYOD-350,"89,95",1.465,Torrance,California,"269,85"
17,2020-01-03 00:00:00.000,2,6,Robots,MICR-23K Robot,"899,00",678,Charlotte,North Carolina,"1.798,00"
18,2020-01-03 00:00:00.000,4,3,Drones,DA-SA702 Drone,"399,00",1.644,Stamford,Connecticut,"1.596,00"
19,2020-01-03 00:00:00.000,3,7,Training Videos,Drone Video Techniques,"37,99",806,Green Bay,Wisconsin,"113,97"
20,2020-01-04 00:00:00.000,2,2,Drone Kits,BYOD-550,"179,00",997,Sarasota,Florida,"358,00"
21,2020-01-04 00:00:00.000,3,7,Training Videos,Drone Video Techniques,"37,99",1.272,Palatine,Illinois,"113,97"
22,2020-01-04 00:00:00.000,4,2,Drone Kits,BYOD-350,"89,95",832,Virginia Beach,Virginia,"359,80"
23,2020-01-04 00:00:00.000,3,3,Drones,DC-304 Drone,"395,00",1.313,Charlotte,North Carolina,"1.185,00"
24,2020-01-04 00:00:00.000,5,6,Robots,MICR-23K Robot,"899,00",638,Albany,New York,"4.495,00"
25,2020-01-05 00:00:00.000,5,4,eBooks,RTF Drones,"16,99",292,Sacramento,California,"84,95"
26,2020-01-05 00:00:00.000,2,7,Training Videos,AI for Educators,"49,95",1.865,Charlotte,North Carolina,"99,90"
27,2020-01-05 00:00:00.000,5,4,eBooks,Spherical Robots,"16,75",1.766,Washington,District of Columbia,"83,75"
28,2020-01-05 00:00:00.000,4,4,eBooks,SCARA Robots,"19,50",281,Boynton Beach,Florida,"78,00"
29,2020-01-06 00:00:00.000,5,4,eBooks,Helicopter Drones,"20,95",889,Oakland,California,"104,75"
30,2020-01-06 00:00:00.000,6,4,eBooks,Single Rotor Drones,"14,99",435,Flushing,New York,"89,94"
31,2020-01-06 00:00:00.000,1,7,Training Videos,Understanding 3D Printing,"42,99",811,Atlanta,Georgia,"42,99"
32,2020-01-06 00:00:00.000,3,2,Drone Kits,BYOD-220,"69,00",148,Mobile,Alabama,"207,00"
33,2020-01-06 00:00:00.000,3,6,Robots,RWW-75 Robot,"883,00",157,Birmingham,Alabama,"2.649,00"
34,2020-01-06 00:00:00.000,4,5,Robot Kits,BYOR-3535,"225,00",841,Melbourne,Florida,"900,00"
35,2020-01-07 00:00:00.000,5,4,eBooks,Cartesian Robots,"12,99",814,Syracuse,New York,"64,95"
36,2020-01-07 00:00:00.000,5,3,Drones,DX-145 Drone,"250,00",1.930,Jackson,Mississippi,"1.250,00"
37,2020-01-07 00:00:00.000,4,5,Robot Kits,BYOR-3000,"214,00",426,Oklahoma City,Oklahoma,"856,00"
38,2020-01-07 00:00:00.000,2,7,Training Videos,Drone Video Techniques,"37,99",1.336,Reno,Nevada,"75,98"
39,2020-01-07 00:00:00.000,1,4,eBooks,Articulated Robots,"23,99",1.708,Lincoln,Nebraska,"23,99"
40,2020-01-07 00:00:00.000,4,3,Drones,DX-145 Drone,"250,00",43,Columbus,Ohio,"1.000,00"
41,2020-01-07 00:00:00.000,6,4,eBooks,Building Your First Robot,"24,95",378,Miami,Florida,"149,70"
42,2020-01-07 00:00:00.000,3,7,Training Videos,AI for Educators,"49,95",856,Pensacola,Florida,"149,85"
43,2020-01-07 00:00:00.000,5,1,Blueprints,Creature Robot Arms Blueprint,"12,00",1.613,Anniston,Alabama,"60,00"
44,2020-01-08 00:00:00.000,1,5,Robot Kits,BYOR-1000,"189,00",587,Shawnee Mission,Kansas,"189,00"
45,2020-01-08 00:00:00.000,4,7,Training Videos,Understanding 3D Printing,"42,99",794,Columbus,Georgia,"171,96"
46,2020-01-08 00:00:00.000,6,4,eBooks,GPS Drones,"19,99",2.104,Greensboro,North Carolina,"119,94"
47,2020-01-08 00:00:00.000,4,5,Robot Kits,BYOR-2640S,"189,00",1.166,Arlington,Virginia,"756,00"
48,2020-01-09 00:00:00.000,6,6,Robots,RXW-9807 Robot,"599,00",1.083,Lima,Ohio,"3.594,00"
49,2020-01-09 00:00:00.000,5,4,eBooks,Photograph Drones,"14,99",371,El Paso,Texas,"74,95"
50,2020-01-09 00:00:00.000,1,4,eBooks,Cartesian Robots,"12,99",11,Rochester,New York,"12,99"
51,2020-01-09 00:00:00.000,3,4,eBooks,Single Rotor Drones,"14,99",1.551,Hagerstown,Maryland,"44,97"
52,2020-01-09 00:00:00.000,5,6,Robots,RXW-9807 Robot,"599,00",1.542,Springfield,Illinois,"2.995,00"
53,2020-01-10 00:00:00.000,2,6,Robots,RQTE-554 Robot,"684,00",2.001,Bronx,New York,"1.368,00"
54,2020-01-10 00:00:00.000,2,3,Drones,DTE-QFN20 Drone,"250,00",647,Dallas,Texas,"500,00"
55,2020-01-10 00:00:00.000,2,7,Training Videos,Understanding Raspberry PI,"28,99",288,Denver,Colorado,"57,98"
56,2020-01-11 00:00:00.000,4,2,Drone Kits,BYOD-500,"167,00",934,Glendale,California,"668,00"
57,2020-01-12 00:00:00.000,6,4,eBooks,GPS Drones,"19,99",1.653,Los Angeles,California,"119,94"
58,2020-01-12 00:00:00.000,4,4,eBooks,Polar Robots,"23,99",46,Tulsa,Oklahoma,"95,96"
59,2020-01-12 00:00:00.000,6,1,Blueprints,Ladybug Robot Blueprint,"12,00",1.340,Miami,Florida,"72,00"
60,2020-01-12 00:00:00.000,3,5,Robot Kits,BYOR-3535,"225,00",366,Columbus,Ohio,"675,00"
61,2020-01-13 00:00:00.000,4,4,eBooks,Photograph Drones,"14,99",1.798,Chicago,Illinois,"59,96"
62,2020-01-13 00:00:00.000,4,4,eBooks,Fixed Wing Drones,"15,50",133,Savannah,Georgia,"62,00"
63,2020-01-13 00:00:00.000,1,4,eBooks,Polar Robots,"23,99",1.101,Springfield,Illinois,"23,99"
64,2020-01-13 00:00:00.000,5,7,Training Videos,Understanding 3D Printing,"42,99",894,Sioux City,Iowa,"214,95"
65,2020-01-14 00:00:00.000,5,7,Training Videos,Industrial 3D Printing,"49,00",628,Davenport,Iowa,"245,00"
66,2020-01-14 00:00:00.000,3,1,Blueprints,Sleepy Eye Blueprint,"11,99",1.878,Miami,Florida,"35,97"
67,2020-01-14 00:00:00.000,2,4,eBooks,Delivery Drones,"14,99",1.123,Salt Lake City,Utah,"29,98"
68,2020-01-14 00:00:00.000,4,4,eBooks,Single Rotor Drones,"14,99",1.214,Miami,Florida,"59,96"
69,2020-01-14 00:00:00.000,6,3,Drones,MICR-564K Drone,"499,00",1.162,Jacksonville,Florida,"2.994,00"
70,2020-01-14 00:00:00.000,3,1,Blueprints,Panda Robot Blueprint,"7,99",1.944,Chicago,Illinois,"23,97"
71,2020-01-15 00:00:00.000,5,1,Blueprints,Sleepy Eye Blueprint,"11,99",185,Fresno,California,"59,95"
72,2020-01-15 00:00:00.000,5,4,eBooks,Delivery Drones,"14,99",1.202,Greeley,Colorado,"74,95"
73,2020-01-15 00:00:00.000,3,4,eBooks,Polar Robots,"23,99",700,Washington,District of Columbia,"71,97"
74,2020-01-16 00:00:00.000,2,2,Drone Kits,BYOD-200,"58,95",1.773,Syracuse,New York,"117,90"
